codigo,cuenca,y,x
35080060,128,5.01361111, -73.20344444
35080070,128,4.81977778, -73.16986111
35080080,128,4.86038889, -73.23408333
35080110,128,5.00513889, -73.25861111
35090050,129,5.0035, -73.04972222
35130010,141,3.95608333, -72.76572222
35180010,140,4.93736111, -72.66588889
35180030,130,4.33, -72.39
35190050,140,5.30294444, -72.70194444
35210010,138,5.45305556, -72.45625
35250010,117,6.09561111, -69.42341667
35260030,119,5.35194444, -70.67827778
35260070,119,5.79, -69.99
37010010,37,7.29805556, -72.50055556
37010020,37,7.13944444, -72.66472222
37010040,37,7.01388889, -72.68083333
37010050,37,6.81027778, -72.55611111
37010080,37,7.19833333, -72.71277778
37020020,38,7.22666667, -72.44194444
37020030,38,7.09888889, -72.30027778
37020040,40,7.09361111, -72.2525
37050010,104,7.03722222, -71.41972222
42050020,224,1.1, -70.73
42070010,224,1.21, -70.71
42070020,224,1.31, -70.29
42070030,224,0.99372222, -69.91069444
42080010,222,1.19825, -69.91086111
44010030,260,1.2025, -76.68083333
44010090,260,1.2805, -76.58419444
44010110,260,1.02680556, -76.54152778
44187020,284,-1.31316667, -69.59158333
47010030,262,0.47361111, -76.48022222
47010050,262,1.13405556, -76.93025
47010090,262,1.17894444, -76.88338889
47010150,262,1.13675, -77.03730556
47010180,262,1.14541667, -76.845
47030010,265,0.39541667, -76.33613889
47040040,273,-1.25894444, -73.61894444
52010040,244,2.26238889, -76.73775
52010060,243,1.95463889, -77.21638889
52010140,243,1.59444444, -77.42944444
52020010,244,2.04638889, -77.00305556
52020050,244,1.88016667, -76.99161111
52020070,244,1.81416667, -76.78288889
52030030,245,1.58305556, -77.13266667
52030060,245,1.66563889, -77.01497222
52030090,260,1.59527778, -76.83416667
52040040,246,1.40416667, -77.14972222
52040050,246,1.39733333, -77.03052778
52040060,246,1.28730556, -77.17405556
52040160,246,1.50527778, -77.13530556
52050010,246,1.45444444, -77.43944444
52050020,303,1.34144444, -77.59141667
52050040,303,1.32225, -77.47919444
52050050,303,1.22063889, -77.67966667
52050060,303,1.0995, -77.29972222
52050080,303,1.09416667, -77.39197222
52050090,303,1.05525, -77.49955556
52050100,303,0.90666667, -77.58138889
52050110,303,0.908, -77.78711111
52050120,303,0.88825, -77.50291667
52050140,303,1.34805556, -77.52611111
52060050,252,1.40472222, -77.77583333
52070030,249,1.73972222, -77.52777778
52080010,249,1.65138889, -77.50555556
52090010,250,2.03888889, -78.65833333
53010020,250,2.50508333, -78.45452778
53020020,248,2.07927778, -78.11286111
53070050,238,3.07713889, -77.53605556
53080020,216,3.16736111, -77.13572222
53100040,215,3.52625, -76.70888889
54020010,206,5.09766667, -76.6965
54020080,206,4.93222222, -76.82694444
54030010,211,4.57283333, -76.20166667
11110020,191,6.6425, -76.075
15010300,312,11.25638889, -73.83666667
15060090,202,11.06338889, -72.77669444
15060210,202,11.07688889, -72.675
21010250,86,1.97780556, -76.25352778
21080080,18,2.79305556, -75.632
21100070,20,2.56172222, -75.23513889
21110400,22,2.85113889, -75.10819444
21110430,22,2.91, -75.12
21190030,46,4.34805556, -74.45447222
21210220,51,4.58011111, -75.32566667
22050040,43,3.92805556, -75.37916667
23190590,93,7.09027778, -73.12388889
23190700,93,6.99333333, -73.06777778
24010830,89,5.64, -73.45044444
24020040,69,6.13833333, -73.09805556
24030950,68,6.70638889, -72.72972222
26110230,23,4.41866667, -76.10052778
26180180,64,5.71525, -75.2945
26220110,70,7.32375, -75.61686111
26230160,71,7.10527778, -75.51166667
35020020,147,4.19616667, -73.77191667
35030010,142,4.34999722, -73.71
35030030,142,4.12736111, -73.63955556
35030040,142,4.16363889, -73.64772222
35070010,42,5.39952778, -73.33297222
35070080,42,5.07886111, -73.36852778
35070180,42,4.86077778, -73.25675
35070190,42,4.88636111, -73.36673611
35080050,128,5.09636111, -73.05322222
35190030,140,5.20438889, -72.90288889
44010100,260,1.69483333, -76.57122222
51020010,253,1.34027778, -78.12233333
