codigo,cuenca,variable
35230010,118,PTPM_CON
35260070,119,PTPM_CON
37010010,37,PTPM_CON
37010020,37,PTPM_CON
37010040,37,PTPM_CON
37010080,37,PTPM_CON
37020030,38,PTPM_CON
37020040,40,PTPM_CON
42050020,224,PTPM_CON
42070010,224,PTPM_CON
42070020,224,PTPM_CON
42070030,224,PTPM_CON
42080010,222,PTPM_CON
44010030,260,PTPM_CON
44010090,260,PTPM_CON
44010110,260,PTPM_CON
47010030,262,PTPM_CON
47010050,262,PTPM_CON
47010090,262,PTPM_CON
47010150,262,PTPM_CON
47010180,262,PTPM_CON
51020050,251,PTPM_CON
51030020,251,PTPM_CON
52010040,244,PTPM_CON
52010060,243,PTPM_CON
52010140,243,PTPM_CON
52020010,244,PTPM_CON
52020050,244,PTPM_CON
52030030,245,PTPM_CON
52030060,245,PTPM_CON
52030090,260,PTPM_CON
52040050,246,PTPM_CON
52040060,246,PTPM_CON
52050010,246,PTPM_CON
52050020,303,PTPM_CON
52050040,303,PTPM_CON
52050050,303,PTPM_CON
52050060,303,PTPM_CON
52050080,303,PTPM_CON
52050100,303,PTPM_CON
52050110,303,PTPM_CON
52050120,303,PTPM_CON
52050140,303,PTPM_CON
52060050,252,PTPM_CON
52070030,249,PTPM_CON
52080010,249,PTPM_CON
53020020,248,PTPM_CON
53070050,238,PTPM_CON
53070090,238,PTPM_CON
53080020,216,PTPM_CON
54020080,206,PTPM_CON
11110020,191,PTPM_CON
15010300,312,PTPM_CON
15060090,202,PTPM_CON
17010010,1,PTPM_CON
21010250,86,PTPM_CON
21080080,18,PTPM_CON
21100070,20,PTPM_CON
21110400,22,PTPM_CON
21190030,46,PTPM_CON
21210110,51,PTPM_CON
22050040,43,PTPM_CON
23190590,93,PTPM_CON
23190700,93,PTPM_CON
24010830,89,PTPM_CON
24020040,69,PTPM_CON
24030370,68,PTPM_CON
24030950,68,PTPM_CON
26180180,64,PTPM_CON
26220110,70,PTPM_CON
26230160,71,PTPM_CON
27020200,78,PTPM_CON
35020020,147,PTPM_CON
35030010,142,PTPM_CON
35030030,142,PTPM_CON
35070010,42,PTPM_CON
35070080,42,PTPM_CON
35070110,42,PTPM_CON
35070190,42,PTPM_CON
35080050,128,PTPM_CON
35190030,140,PTPM_CON
44010100,260,PTPM_CON
51020010,253,PTPM_CON
