basin,mean,stdev,AIC,BIC,RMSE,MAPE,sMAPE,p
38,50.94609809027778,18.903330917667173,-7.101167959236585,-7.101167959236585,16.41521103151841,23.193081644766863,11.243273489747484,12
39,915.5986458333476,590.4296417600336,-2.8393322983249707,-2.8393322983249707,148.64809198127136,21.83327154826258,9.933596333356702,11
40,1625.150937499999,1275.6560296794241,-2.126679428601351,-2.126679428601351,423.7755476978578,34.87376695047967,20.930361135725505,11
41,3490.361006944459,2707.9233768238455,-0.9243649151145645,-0.9243649151145645,1362.3409248616888,45.00864196441845,21.695388519921984,11
42,1431.5390624999936,801.4112013252837,-0.5406544868281478,-0.5406544868281478,254.5325905558986,23.111641976278634,11.83639145707313,11
43,1023.4690185185194,402.2839792595026,-1.2835223714933977,-1.2835223714933977,377.34471938494676,47.64699399490037,17.064964774296655,11
44,2834.2339114583306,855.7352142601566,-0.6402859236460954,-0.6402859236460954,699.6720282054268,28.40255287159626,10.964646529895123,11
45,879.4314583332526,814.0113305818314,3.842466541679821,3.842466541679821,464.02574345364513,65.59098930352079,34.50766917905139,11
46,2290.838906249952,1720.7353476862431,3.4712787139258747,3.4712787139258747,940.311491113011,55.20833128543771,23.551429210539983,11
47,2960.6765624999784,2494.8114342126837,2.1360882694408563,2.1360882694408563,1360.9281554618146,73.56223164677994,32.59097658496048,11
48,4113.757593749998,2990.9694528137948,1.9644509511572659,1.9644509511572659,865.5133665421055,38.22152771786882,21.0623204583666,11
