MC,date,year,month,flow,model_type,climate_change_scenario,loss_cover_scenario
13,2020-03,2020,3,384.89364384590544,VAR,1,0
13,2020-04,2020,4,389.1695458716381,VAR,1,0
13,2020-05,2020,5,387.25081163681915,VAR,1,0
13,2020-06,2020,6,363.95407306820124,VAR,1,0
13,2020-07,2020,7,280.68142515218904,VAR,1,0
13,2020-08,2020,8,277.86183595900366,VAR,1,0
13,2020-09,2020,9,339.82644891686414,VAR,1,0
13,2020-10,2020,10,369.8778151647342,VAR,1,0
13,2020-11,2020,11,377.42887782685096,VAR,1,0
13,2020-12,2020,12,311.25383305893337,VAR,1,0
13,2021-01,2021,1,288.53624074222864,VAR,1,0
13,2021-02,2021,2,276.2546568416904,VAR,1,0
13,2021-03,2021,3,340.76924446447117,VAR,1,0
13,2021-04,2021,4,370.8578984439436,VAR,1,0
13,2021-05,2021,5,372.48034901589364,VAR,1,0
13,2021-06,2021,6,336.25192268823173,VAR,1,0
13,2021-07,2021,7,293.1988724121165,VAR,1,0
13,2021-08,2021,8,298.99233955805687,VAR,1,0
13,2021-09,2021,9,344.2458268134325,VAR,1,0
13,2021-10,2021,10,373.8759845978624,VAR,1,0
13,2021-11,2021,11,365.320923795831,VAR,1,0
13,2021-12,2021,12,319.12998834580367,VAR,1,0
14,2020-01,2020,1,32.47897874743589,VAR,1,0
14,2020-02,2020,2,31.65021371680584,VAR,1,0
14,2020-03,2020,3,52.57826536503111,VAR,1,0
14,2020-04,2020,4,85.97967217811397,VAR,1,0
14,2020-05,2020,5,90.35878413812485,VAR,1,0
14,2020-06,2020,6,79.30494059831469,VAR,1,0
14,2020-07,2020,7,54.27211298261997,VAR,1,0
14,2020-08,2020,8,50.542384199816176,VAR,1,0
14,2020-09,2020,9,58.50311891144754,VAR,1,0
14,2020-10,2020,10,80.3473319368163,VAR,1,0
14,2020-11,2020,11,86.3449697023527,VAR,1,0
14,2020-12,2020,12,73.91922258177529,VAR,1,0
14,2021-01,2021,1,45.27151670508043,VAR,1,0
14,2021-02,2021,2,39.819429649605276,VAR,1,0
14,2021-03,2021,3,52.4500033598805,VAR,1,0
14,2021-04,2021,4,76.65390961702609,VAR,1,0
14,2021-05,2021,5,85.4190659855,VAR,1,0
14,2021-06,2021,6,76.29924955074152,VAR,1,0
14,2021-07,2021,7,54.79372213724973,VAR,1,0
14,2021-08,2021,8,49.247954919631454,VAR,1,0
14,2021-09,2021,9,58.607529324233894,VAR,1,0
14,2021-10,2021,10,77.48436133680427,VAR,1,0
14,2021-11,2021,11,85.71320135558038,VAR,1,0
14,2021-12,2021,12,75.15223152580519,VAR,1,0
15,2020-01,2020,1,11.278473424586993,VAR,1,0
15,2020-02,2020,2,-0.4000080405211577,VAR,1,0
15,2020-03,2020,3,63.55905196255959,VAR,1,0
15,2020-04,2020,4,101.76888111481449,VAR,1,0
15,2020-05,2020,5,108.27463259259858,VAR,1,0
15,2020-06,2020,6,73.17647732738311,VAR,1,0
15,2020-07,2020,7,34.59545347874762,VAR,1,0
15,2020-08,2020,8,43.05620464751086,VAR,1,0
15,2020-09,2020,9,86.27339870745995,VAR,1,0
15,2020-10,2020,10,116.97998692213129,VAR,1,0
15,2020-11,2020,11,107.480570487566,VAR,1,0
