date,mc,v_loss_cover,v_rainfall_total,scenario,v_flow_mean_forecast
2020-09-01,6,0.02102,41.51,Def_25%_P_A1,23.000300000000053
2020-10-01,6,0.02104,70.73,Def_25%_P_A1,22.91245000000004
2020-11-01,6,0.02106,366.13,Def_25%_P_A1,23.50365000000002
2020-12-01,6,0.02108,307.93,Def_25%_P_A1,25.784899999999997
2021-01-01,6,0.02111,12.47,Def_25%_P_A1,34.31665
2021-02-01,6,0.02113,75.9,Def_25%_P_A1,23.177050000000044
2021-03-01,6,0.02115,158.16,Def_25%_P_A1,25.99640000000003
2021-04-01,6,0.02117,212.31,Def_25%_P_A1,28.56550000000004
2021-05-01,6,0.0212,173.23,Def_25%_P_A1,31.19235000000006
2021-06-01,6,0.02122,263.65,Def_25%_P_A1,36.89455
2021-07-01,6,0.02124,104.96,Def_25%_P_A1,26.608800000000056
2021-08-01,6,0.02126,78.09,Def_25%_P_A1,22.075050000000005
2021-09-01,6,0.02129,1.99,Def_25%_P_A1,21.28775000000004
2021-10-01,6,0.02131,87.53,Def_25%_P_A1,25.85640000000007
2021-11-01,6,0.02133,212.45,Def_25%_P_A1,25.40345000000003
2021-12-01,6,0.02135,263.98,Def_25%_P_A1,27.526550000000007
2020-01-01,7,0.03477,186.36,Def_25%_P_A1,172.03333750000002
2020-02-01,7,0.03481,213.38,Def_25%_P_A1,179.76721875000072
2020-03-01,7,0.03484,49.39,Def_25%_P_A1,191.95007499999394
2020-04-01,7,0.03488,438.88,Def_25%_P_A1,219.1879999999979
2020-05-01,7,0.03491,276.37,Def_25%_P_A1,245.4238375000081
2020-06-01,7,0.03495,116.48,Def_25%_P_A1,289.1674000000162
2020-07-01,7,0.03498,82.0,Def_25%_P_A1,241.24290312500142
2020-08-01,7,0.03502,19.57,Def_25%_P_A1,213.43255000000073
2020-09-01,7,0.03505,177.97,Def_25%_P_A1,150.2639218750009
2020-10-01,7,0.03509,480.81,Def_25%_P_A1,252.73392499999485
2020-11-01,7,0.03512,362.47,Def_25%_P_A1,319.42456250000413
2020-12-01,7,0.03516,52.18,Def_25%_P_A1,256.37997812500834
2021-01-01,7,0.03519,88.99,Def_25%_P_A1,206.89244062500697
2021-02-01,7,0.03523,155.61,Def_25%_P_A1,161.919037500002
2021-03-01,7,0.03526,363.59,Def_25%_P_A1,210.43841875000007
2021-04-01,7,0.0353,408.13,Def_25%_P_A1,295.26253750000404
2021-05-01,7,0.03533,400.68,Def_25%_P_A1,303.2812125000011
2021-06-01,7,0.03537,41.93,Def_25%_P_A1,292.4803781250113
2021-07-01,7,0.0354,23.85,Def_25%_P_A1,241.84649062502146
2021-08-01,7,0.03544,1.86,Def_25%_P_A1,173.986568750007
2021-09-01,7,0.03547,130.45,Def_25%_P_A1,157.4964906249977
2021-10-01,7,0.03551,157.48,Def_25%_P_A1,166.35918750000744
2021-11-01,7,0.03554,393.22,Def_25%_P_A1,217.2060468749986
2021-12-01,7,0.03558,246.93,Def_25%_P_A1,230.37773437500798
2020-01-01,8,0.02315,464.77,Def_25%_P_A1,47.65566875000029
2020-02-01,8,0.02318,157.52,Def_25%_P_A1,43.19583906249611
2020-03-01,8,0.0232,245.54,Def_25%_P_A1,41.62197812499434
2020-04-01,8,0.02323,297.8,Def_25%_P_A1,50.01581093748874
2020-05-01,8,0.02325,276.86,Def_25%_P_A1,48.1506249999796
2020-06-01,8,0.02328,60.69,Def_25%_P_A1,57.01793437499499
2020-07-01,8,0.0233,12.69,Def_25%_P_A1,58.53227968749673
2020-08-01,8,0.02333,40.86,Def_25%_P_A1,41.848616406244176
2020-09-01,8,0.02335,86.17,Def_25%_P_A1,33.48242812499238
2020-10-01,8,0.02338,230.07,Def_25%_P_A1,38.47565781249776
2020-11-01,8,0.0234,302.44,Def_25%_P_A1,47.94169218749134
2020-12-01,8,0.02343,55.69,Def_25%_P_A1,40.656818749995274
2021-01-01,8,0.02345,64.3,Def_25%_P_A1,39.47379765624088
2021-02-01,8,0.02348,158.17,Def_25%_P_A1,30.389951562498137
2021-03-01,8,0.0235,231.64,Def_25%_P_A1,38.05227187500302
2021-04-01,8,0.02353,378.41,Def_25%_P_A1,46.414331249990916
2021-05-01,8,0.02355,298.91,Def_25%_P_A1,51.12059999997553
2021-06-01,8,0.02358,14.83,Def_25%_P_A1,66.82658749999442
2021-07-01,8,0.0236,40.49,Def_25%_P_A1,55.441359374970745
2021-08-01,8,0.02363,0.0,Def_25%_P_A1,39.3581109374989
2021-09-01,8,0.02365,108.78,Def_25%_P_A1,29.910598437495526
2021-10-01,8,0.02368,230.35,Def_25%_P_A1,41.348203125000474
2021-11-01,8,0.0237,312.26,Def_25%_P_A1,47.7817421874912
2021-12-01,8,0.02373,408.16,Def_25%_P_A1,46.819147656222256
2020-01-01,9,0.00641,13.26,Def_25%_P_A1,3.300095208333275
2020-02-01,9,0.00641,11.37,Def_25%_P_A1,2.924047916666621
2020-03-01,9,0.00642,59.69,Def_25%_P_A1,3.1340418229167426
2020-04-01,9,0.00643,162.01,Def_25%_P_A1,18.662478385412236
2020-05-01,9,0.00644,178.11,Def_25%_P_A1,28.35738645833239
2020-06-01,9,0.00644,215.06,Def_25%_P_A1,34.963320572913005
2020-07-01,9,0.00645,197.06,Def_25%_P_A1,33.4294449999977
2020-08-01,9,0.00646,192.33,Def_25%_P_A1,30.49731874999829
2020-09-01,9,0.00647,119.37,Def_25%_P_A1,17.521579687492753
2020-10-01,9,0.00647,99.48,Def_25%_P_A1,15.005521406251045
2020-11-01,9,0.00648,23.69,Def_25%_P_A1,7.623165208333814
2020-12-01,9,0.00649,0.0,Def_25%_P_A1,2.234544479166784
2021-01-01,9,0.0065,28.42,Def_25%_P_A1,1.6832563020835352
2021-02-01,9,0.0065,6.63,Def_25%_P_A1,1.9991420833334508
2021-03-01,9,0.00651,18.0,Def_25%_P_A1,2.2852248437502807
2021-04-01,9,0.00652,54.95,Def_25%_P_A1,3.2888140104168473
2021-05-01,9,0.00653,150.64,Def_25%_P_A1,13.981410624997231
2021-06-01,9,0.00653,237.8,Def_25%_P_A1,30.242347656248924
2021-07-01,9,0.00654,172.24,Def_25%_P_A1,33.243376562498696
