N,CUENCA,CUENCA_IDEAM,Q_TIPO,Q_EST,Q_X,Q_Y,P_EST,P_X,P_Y,P_Influencia,TMN_EST,TMX_EST
22,15,72,QMED,23147020,-73.935,6.7361111,24050060,-73.41083333,6.87277778,0.3948557696,,
23,16,72,QMED,24067020,-73.7875,7.4416667,24060050,-73.09277778,6.75916667,0.2018689246,,
24,16,72,QMED,24067020,-73.7875,7.4416667,24050060,-73.41083333,6.87277778,0.2881442676,,
25,16,72,QMED,24067020,-73.7875,7.4416667,23160010,-73.94416667,7.08944444,0.5099868078,,
26,17,86,QMED,21017020,-76.23161111,1.7027778,21010230,-76.30425,1.90580556,0.4896943669,,
27,17,86,QMED,21017020,-76.23161111,1.7027778,21010140,-76.36083333,1.86438889,0.5103056331,,
28,18,87,QMED,23107020,-74.40694444,6.3219444,23100030,-74.78566667,6.84047222,1,23085030,
29,19,89,QMAX,24017600,-73.57025,5.7813889,24010850,-73.38383333,5.868,0.1535507244,24055040,24055040
30,19,89,QMAX,24017600,-73.57025,5.7813889,24010810,-73.54891667,5.75080556,0.8464492756,24055040,24055040
31,20,93,QMED,23197370,-73.56055556,7.7805556,23180070,-73.48944444,7.39,0.4429074193,,
32,20,93,QMED,23197370,-73.56055556,7.7805556,23190380,-73.21788889,7.21108333,0.2645482131,,
33,20,93,QMED,23197370,-73.56055556,7.7805556,23190360,-73.165,7.32805556,0.2925443676,,
34,21,103,QMAX,26027100,-76.522,2.2588889,26020030,-76.53611111,2.64269444,1,26025100,26025100
35,22,140,QMAX,35197180,-72.29138889,4.17,35180010,-72.66588889,4.93736111,1,,
36,23,146,QMED,35017090,-73.70644444,3.1061111,35010090,-73.70083333,3.75027778,1,,
37,24,154,QMED,16037030,-72.79472222,8.0361111,16030080,-72.8325,7.95027778,0.7749398036,,
38,24,154,QMED,16037030,-72.79472222,8.0361111,16030140,-72.69361111,8.34277778,0.2250601964,,
39,25,155,QMED,16047010,-73.08305556,8.4333333,16050100,-72.69361111,8.34277778,1,,
40,26,166,QMED,16027100,-72.63388889,7.0138889,16020010,-72.79944444,7.89194444,1,,
41,27,167,QMED,16017020,-72.60547222,7.8797222,16020080,-72.77277778,7.53416667,1,16015030,
42,28,179,QMED,12017020,-76.71,7.7,12010030,-76.7,7.57,1,,
43,29,197,QMED,11037020,-76.61325,5.7475,54020080,-76.82694444,4.93222222,1,,
44,30,243,QMED,52017070,-77.0575,2.1666667,52010040,-76.73775,2.26238889,0.2834418144,,
45,30,243,QMED,52017070,-77.0575,2.1666667,52020010,-77.00305556,2.04638889,0.7165581856,,
46,31,245,QMAX,52037010,-77.01472222,1.6566667,52030060,-77.01497222,1.66563889,1,52045040,52045040
47,32,246,QMAX,52047010,-77.29294444,1.3433333,52040060,-77.17405556,1.28730556,1,52045040,52045040
48,33,252,QMAX,52067030,-77.64694444,1.2972222,52060050,-77.77583333,1.40472222,1,,
49,34,260,QMED,44017110,-76.54888889,1.5091667,44010100,-76.58419444,1.2805,0.3713247265,47015040,47015040
50,34,260,QMED,44017110,-76.54888889,1.5091667,44010090,-76.58419444,1.2805,0.3713247265,47015040,47015040
51,34,260,QMED,44017110,-76.54888889,1.5091667,44010030,-76.68083333,1.2025,0.2573505471,47015040,47015040
52,35,262,QMED,47017160,-76.57694444,0.8269444,47010180,-76.845,1.14541667,0.3305206649,47015040,47015040
