COD;CAT;ELEV;CUENCA;X;Y
21127030;LG;127;26;-75,59244444;2,97177778
21137010;LG;306;32;-74,93577778;3,84952778
21137020;LG;314;32;-74,95911111;3,85919444
21137030;LG;385;32;-75,25097222;3,26341667
21137040;LM;328;32;-75,14197222;3,56747222
21137050;LG;345;32;-75,11880556;3,44319444
21147010;LG;420;29;-75,11416667;3,3705
21147030;LG;730;29;-74,86691667;3,32752778
21147050;LM;550;29;-74,90822222;3,28394444
21147080;LG;716;29;-74,81702778;3,40569444
21167050;LM;427;44;-74,68827778;4,05936111
21167060;LG;744;44;-74,65694444;3,92666667
21167070;LM;500;44;-74,88333333;3,76666667
21167080;LG;464;44;-74,82644444;3,72519444
21167090;LG;450;44;-74,71902778;4,01105556
21187020;LG;734;49;-75,19808333;4,2225
21187030;LG;589;49;-75,09272222;4,23205556
21197010;LG;186;46;-74,50444444;4,01169444
21197030;LG;750;46;-74,50072222;4,19225
21197080;LG;152;46;-74,36358333;4,40002778
21197110;LG;148;46;-74,38530556;4,40305556
21197120;LM;223;46;-74,3;4,31666667
21197140;LM;750;46;-74,56666667;4,35
21197150;LG;405;46;-74,62055556;4,23255556
21197160;LG;26;46;-74,38333333;3,96666667
21197180;LM;265;46;-74,3;4,38333333
21197190;LM;3044;46;-74,26666667;4,25
21197200;LG;2549;46;-74,4;3,96666667
21197220;LM;2825;46;-74,28333333;4,35
21197230;LM;2240;46;-74,25;4,33333333
21197240;LM;2240;46;-74,26666667;4,26666667
21197250;LM;275;150;-74,2;4
21197260;LM;193;46;-74,31666667;4,38333333
21197270;LM;154;46;-74,38333333;4,31666667
21197280;LM;13;46;-74,46666667;4,18333333
21197290;LM;25;46;-74,28333333;4,28333333
21197300;LM;212;46;-74,43333333;4,01666667
21197310;LM;2435;46;-74,28333333;4,28333333
21197320;LM;122;46;-74,41666667;4,28333333
21197330;LM;670;46;-74,51666667;4,23333333
21197340;LM;2009;46;-74,31666667;4,3
21197350;LM;15;46;-74,38333333;4,28333333
21197360;LM;215;46;-74,33333333;4,31666667
21197370;LM;185;46;-74,33333333;4,31666667
21197380;LM;2299;46;-74,3;4,38333333
21197420;LM;1752;46;-74,35;4,28333333
21199710;LM;19;46;-74,43333333;4,15
21207010;LG;2549;47;-74,2;4,6
21207020;LM;2803;47;-74,05;4,6
21207030;LM;2884;47;-74,06666667;4,56666667
21207050;LM;289;47;-74,06666667;4,55
21207060;LM;297;47;-74,15;4,4
21207070;LM;297;47;-74,15;4,4
21207100;LM;289;47;-74,05;4,65
21207110;LM;3016;47;-74,13333333;4,38333333
21207120;LM;2537;47;-74,26666667;4,55
21207140;LG;2565;47;-74,16666667;4,68333333
21207160;LM;2571;47;-74,16666667;4,7
21207170;LM;259;47;-74,15;4,4
21207180;LM;259;47;-74,15;4,4
21207190;LG;2637;47;-73,70980833;5,11352778
21207230;LM;264;47;-74,25;4,53333333
21207250;LM;3056;47;-74,13333333;4,38333333
21207260;LM;275;47;-73,98333333;4,7
21207280;LM;258;47;-73,93333333;5,06666667
21207290;LM;26;47;-73,95;4,76666667
21207300;LM;2539;47;-74,16666667;4,7
21207320;LM;2572;47;-73,95;5,08333333
21207330;LM;2581;47;-73,93333333;5,08333333
21207340;LG;2541;47;-74;4,91666667
21207350;LG;2565;47;-74,06666667;4,91666667
21207370;LM;2645;47;-74,2;4,7
