CODIGO;ELEVACION;CUENCA
23050040;1250;65
23050060;1350;65
23050080;1550;65
23050100;1751;65
23050120;400;65
23050130;1400;65
23050170;1300;65
23050210;1500;65
23050220;1640;65
23050230;216;65
23050240;1570;65
23050250;737;65
23050270;1400;65
23050280;1840;65
23050290;1610;65
23050300;2150;65
23050310;2270;65
23050320;1660;65
23050330;1550;65
23050350;450;65
23050370;550;65
23050400;1500;65
23060040;1450;299
23060050;1500;299
23060060;1380;299
23060080;1600;299
23060110;1270;299
23060120;1420;299
23060130;1665;299
23060140;985;299
23060150;1836;299
23060160;1200;299
23060170;1462;299
23060180;1400;299
23060190;497;299
23060200;1798;299
23060210;1500;299
23060220;1500;299
23060250;1060;299
23060260;1500;299
23060290;1425;299
23060320;1400;299
23060360;1550;299
23070010;3347;66
23080290;2098;83
23080300;2180;83
23080330;1940;83
23080350;2150;83
23080360;1880;83
23080370;1900;83
23080380;2155;83
23080480;1450;83
23080500;1450;83
23080520;1210;83
23080530;600;83
23080540;2050;83
23080550;1080;83
23080600;2600;64
23080640;2150;83
23080650;1850;83
23080670;1260;83
23080720;1723;83
23080740;1280;83
23080750;1455;83
23080760;820;83
23080770;830;87
23080820;2180;83
23080830;1380;83
23080840;1570;83
23080850;1700;83
23080880;1000;83
23090020;975;87
23090110;130;87
23100010;1540;87
23100030;1450;87
23100040;965;87
23100070;120;87
23110030;150;67
23110040;179;67
23110060;171;67
23120010;140;88
23120050;850;88
23120120;2800;88
23120190;3477;88
23120200;118;88
23120210;190;88
23120220;2590;88
23120230;1100;88
23120240;138;88
23120250;681;88
23125040;180;72
23130010;100;72
23140010;1520;72
23140070;183;72
23160010;85;92
23180020;73;93
23180040;110;93
23180050;98;93
23180070;144;93
23180080;90;93
23180100;98;93
23180110;105;93
23180120;170;93
23190040;1018;93
23190110;164;93
23190140;500;93
23190170;860;93
23190180;1100;93
23190210;89;93
23190260;150;93
23190280;950;93
23190300;3310;93
23190340;996;93
23190350;778;93
23190360;800;93
23190380;855;93
23190400;1779;93
23190440;825;93
23190450;3220;93
23190480;228;93
23190500;134;93
23190510;300;93
23190520;271;93
23190540;710;93
23190560;84;93
23190580;75;93
23190600;1280;93
23190610;1250;93
23190620;1300;93
23190630;1400;93
23190640;1200;93
23190650;1300;93
23190660;1400;93
23190670;1120;93
23190680;1350;93
23190710;50;93
23190740;2250;93
23190750;1900;68
23190760;1600;93
23190770;2200;93
23190780;2700;93
23190810;650;93
23190820;1120;93
23190840;1200;93
23200010;64;95
23200060;80;95
23210010;90;94
23210120;166;94
23210130;250;94
23210160;150;94
23215030;208;94
23215050;163;94
24010010;1400;89
24010050;1390;89
24010070;2650;89
24010110;1520;89
24010170;2690;89
24010180;2290;89
24010190;1650;89
24010210;1920;89
24010230;1523;89
24010240;1400;89
24010290;2090;89
24010300;2885;47
24010310;2575;89
24010360;2865;89
24010370;3080;89
24010410;2120;89
24010420;2655;89
24010440;3130;89
24010460;2370;89
24010490;2900;89
24010510;2900;89
24010520;2985;89
24010530;2974;89
24010540;3398;89
24010550;3465;89
24010560;3360;89
24010570;3105;89
24010580;3271;89
24010590;2963;89
24010630;2600;89
24010640;2165;89
24010650;1502;89
24010660;150;89
24010670;2270;89
24010710;1764;89
24010720;1750;89
24010750;1730;89
24010760;1660;89
24010810;2375;89
24010820;218;89
24010840;3195;89
24010850;2100;89
24010870;2200;89
24010880;1850;89
24010890;1550;89
24010900;1600;89
24010910;1600;69
24010920;1540;89
24010930;1350;89
24010940;1400;89
24010990;1750;89
24011060;2600;89
24011070;1800;89
24011080;3000;89
24015270;2170;89
24020010;1470;69
24020060;1450;69
24020080;1300;69
24020120;1520;69
24020130;1626;69
24020140;1200;69
24020150;1408;69
24020170;1550;69
24020180;1700;69
24020190;1550;69
24020200;1500;69
24020220;2625;69
24020230;2107;69
24020260;1560;69
24025020;975;69
24030080;1295;68
24030160;2486;68
24030190;2970;68
24030200;20;68
24030210;2440;68
24030230;2470;68
24030240;2550;68
24030260;2749;68
24030270;1702;68
24030290;1856;68
24030300;600;68
24030310;2820;68
24030320;224;68
24030330;250;68
24030340;2150;68
24030380;2860;68
24030390;1500;68
24030400;2690;68
24030410;2500;68
24030490;500;68
24030510;2900;68
24030530;2580;68
24030540;2486;68
24030560;2900;68
24030570;2328;68
24030580;2962;68
24030630;2927;68
24030640;3200;68
24030650;2833;68
24030660;3409;68
24030670;3240;68
24030690;352;68
24030700;2400;68
24030750;2400;68
24030790;2500;68
24030800;3200;68
24030840;3650;89
24030850;2500;68
24030860;2800;68
24030890;1800;68
