,Macrocuenca,Departamento,Nombre Región Hidrológica,Nombre Zona Hidrológica,Nombre Subzona Hidrológica,Área cuenca (ha),Pendiente Media de la cuenca (%),Elevación Máxima (m.s.n.m.),Elevación Mínima (m.s.n.m.),FCL (ha) 2001,FCL (ha) 2002,FCL (ha) 2003,FCL (ha) 2004,FCL (ha) 2005,FCL (ha) 2006,FCL (ha) 2007,FCL (ha) 2008,FCL (ha) 2009,FCL (ha) 2010,FCL (ha) 2011,FCL (ha) 2012,FCL (ha) 2013,FCL (ha) 2014,FCL (ha) 2015,FCL (ha) 2016,FCL (ha) 2017,FCL (ha) 2018,FCL (ha) 2019,FCL (%) 2001,FCL (%) 2002,FCL (%) 2003,FCL (%) 2004,FCL (%) 2005,FCL (%) 2006,FCL (%) 2007,FCL (%) 2008,FCL (%) 2009,FCL (%) 2010,FCL (%) 2011,FCL (%) 2012,FCL (%) 2013,FCL (%) 2014,FCL (%) 2015,FCL (%) 2016,FCL (%) 2017,FCL (%) 2018,FCL (%) 2019
36,37,Cundinamarca,Magdalena Cauca,Medio Magdalena,Río Negro,457194.63,38.33,3153,164,1057.67,738.29,287.87,1975.13,829.67,841.5,365.37,663.39,1013.65,621.36,436.46,1425.17,390.77,500.69,315.26,503.28,1458.89,1142.87,766.44,0.00231,0.00161,0.00063,0.00432,0.0018100000000000002,0.0018399999999999998,0.0008,0.00145,0.0022199999999999998,0.0013599999999999999,0.00095,0.00312,0.00085,0.0011,0.0006900000000000001,0.0011,0.0031899999999999997,0.0025,0.00168
37,38,Nariño,Pacifico,Patía,Río Guáitara,363657.52,35.43,3926,610,1889.78,150.72,194.97,460.95,448.97,361.17,611.14,407.4,736.0,404.12,285.05,966.97,263.08,325.78,67.66,241.19,253.78,214.65,200.46,0.0052,0.00041,0.00054,0.0012699999999999999,0.00123,0.00099,0.00168,0.00112,0.00202,0.0011099999999999999,0.00078,0.00266,0.00072,0.0009,0.00018999999999999998,0.00066,0.0007,0.00059,0.00055
38,39,Meta,Orinoco,Meta,Río Guatiquía,1525195.48,25.88,3992,149,1748.44,1308.31,1552.94,2465.9,2089.55,2523.87,2943.25,2403.36,2009.99,2770.33,3398.09,2987.64,812.43,1592.14,880.47,1435.85,2138.6,2367.51,1649.2,0.00115,0.00086,0.0010199999999999999,0.00162,0.00137,0.00165,0.00193,0.00158,0.00132,0.00182,0.00223,0.00196,0.00053,0.0010400000000000001,0.00058,0.0009400000000000001,0.0014,0.00155,0.00108
39,40,Cundinamarca,Orinoco,Meta,Río Guacavía,2204732.72,14.94,3992,138,2141.04,1678.79,1764.23,3269.41,2440.43,3284.29,3770.71,3484.21,2866.67,3373.76,4264.91,4608.77,1559.8,2657.36,1924.64,2500.08,3033.64,3080.09,2939.82,0.0009699999999999999,0.0007599999999999999,0.0008,0.00148,0.0011099999999999999,0.00149,0.0017100000000000001,0.00158,0.0013,0.0015300000000000001,0.00193,0.00209,0.0007099999999999999,0.00121,0.0008699999999999999,0.0011300000000000001,0.0013800000000000002,0.0014,0.00133
40,41,Cundinamarca,Orinoco,Meta,Río Humea,6596213.43,23.73,3992,92,5542.94,5169.72,4717.32,9733.87,7452.25,9867.35,9275.21,8710.83,10094.13,6415.41,7928.22,8721.82,4780.17,7019.76,5602.82,7128.76,10439.28,6870.94,7518.0,0.00084,0.00078,0.00072,0.00148,0.0011300000000000001,0.0015,0.00141,0.00132,0.0015300000000000001,0.0009699999999999999,0.0012,0.00132,0.00072,0.00106,0.00085,0.00108,0.00158,0.0010400000000000001,0.00114
41,42,Vaupés,Amazonas,Vaupes,Bajo Vaupés,2860363.59,5.27,343,122,5590.31,5866.67,3059.19,9243.71,3076.96,5304.5,3771.17,8245.84,4623.8,6095.65,5221.82,4677.73,3616.17,4253.7,3146.0,5611.75,10892.98,11370.33,8519.3,0.00195,0.00205,0.00107,0.00323,0.00108,0.00185,0.00132,0.00288,0.00162,0.00213,0.00183,0.00164,0.00126,0.00149,0.0011,0.00196,0.00381,0.00398,0.00298
42,43,Chocó,Caribe,Atrato - Darién,Alto Atrato,484549.86,34.29,2905,39,267.58,165.37,63.46,268.73,131.05,159.27,329.29,204.35,410.98,490.39,491.15,396.19,131.05,436.99,223.87,308.31,1009.76,300.0,317.54,0.00055,0.00033999999999999997,0.00013000000000000002,0.00055,0.00027,0.00033,0.0006799999999999999,0.00042,0.00085,0.00101,0.00101,0.00082,0.00027,0.0009,0.00045999999999999996,0.00064,0.0020800000000000003,0.00062,0.00066
43,44,Chocó,Caribe,Atrato - Darién,Río Bebaramá y otros Directos Atrato,1212822.0,23.01,2077,28,462.24,319.83,97.41,404.12,191.46,293.9,516.78,290.47,639.13,873.91,670.94,686.04,278.49,645.77,239.74,431.05,1877.42,553.24,452.71,0.00037999999999999997,0.00026000000000000003,8e-05,0.00033,0.00016,0.00023999999999999998,0.00043,0.00023999999999999998,0.00053,0.00072,0.00055,0.00057,0.00022999999999999998,0.00053,0.0002,0.00036,0.00155,0.00045999999999999996,0.00037
44,45,Meta,Orinoco,Guaviare,Río Guayabero,1377141.51,22.26,3228,273,9293.36,8337.3,2515.18,17369.49,11019.15,8325.63,27152.1,8944.16,6741.42,5151.41,9560.72,5444.24,4476.89,7329.44,2789.78,9372.77,14040.27,27464.53,9168.19,0.00675,0.00605,0.00183,0.01261,0.008,0.00605,0.019719999999999998,0.006490000000000001,0.0049,0.00374,0.006940000000000001,0.00395,0.00325,0.00532,0.00203,0.006809999999999999,0.0102,0.01994,0.006659999999999999
45,46,Guaviare,Orinoco,Guaviare,Alto Guaviare,3551555.88,5.62,3228,204,18447.9,14931.5,6166.51,30716.02,15653.24,19982.38,35895.19,15952.56,16731.66,15206.41,22910.91,12369.34,11243.4,16979.25,9690.92,21347.22,36504.65,54920.98,26740.43,0.00519,0.0042,0.0017399999999999998,0.00865,0.00441,0.00563,0.01011,0.00449,0.00471,0.00428,0.00645,0.0034799999999999996,0.00317,0.0047799999999999995,0.0027300000000000002,0.00601,0.01028,0.01546,0.007529999999999999
46,47,Vichada,Orinoco,Guaviare,Bajo Guaviare,7723341.71,4.25,3228,112,25512.13,20818.84,10297.1,38041.11,18934.1,26503.97,41029.06,22988.41,21667.05,21132.65,25929.67,15778.64,15188.71,22766.82,13343.25,27790.47,48687.87,69201.6,42291.84,0.0033,0.0027,0.00133,0.0049299999999999995,0.00245,0.00343,0.0053100000000000005,0.00298,0.00281,0.00274,0.00336,0.0020399999999999997,0.00197,0.00295,0.00173,0.0036,0.0063,0.00896,0.00548
47,48,Vichada,Orinoco,Guaviare,Caño Chupabe,8437084.95,3.5,3228,103,27501.75,23972.39,11923.11,40733.71,20672.46,27783.75,42511.52,25066.9,22820.06,22498.93,26924.1,16764.15,16484.36,24345.54,14366.21,29728.22,51887.49,74184.52,45136.16,0.0032600000000000003,0.0028399999999999996,0.00141,0.00483,0.00245,0.00329,0.00504,0.00297,0.0027,0.00267,0.0031899999999999997,0.00199,0.00195,0.0028899999999999998,0.0017,0.00352,0.00615,0.008790000000000001,0.00535
