CUENCA;A;Sm;FCL 2001 (ha);FCL 2002 (ha);FCL 2003 (ha);FCL 2004 (ha);FCL 2005 (ha);FCL 2006 (ha);FCL 2007 (ha);FCL 2008 (ha);FCL 2009 (ha);FCL 2010 (ha);FCL 2011 (ha);FCL 2012 (ha);FCL 2013 (ha);FCL 2014 (ha);FCL 2015 (ha);FCL 2016 (ha);FCL 2017 (ha);FCL 2018 (ha);FCL 2019 (ha); ;FCL 2001 (%);FCL 2002 (%);FCL 2003 (%);FCL 2004 (%);FCL 2005 (%);FCL 2006 (%);FCL 2007 (%);FCL 2008 (%);FCL 2009 (%);FCL 2010 (%);FCL 2011 (%);FCL 2012 (%);FCL 2013 (%);FCL 2014 (%);FCL 2015 (%);FCL 2016 (%);FCL 2017 (%);FCL 2018 (%);FCL 2019 (%);;FCL 2001 (% acum);FCL 2002 (% acum);FCL 2003 (% acum);FCL 2004 (% acum);FCL 2005 (% acum);FCL 2006 (% acum);FCL 2007 (% acum);FCL 2008 (% acum);FCL 2009 (% acum);FCL 2010 (% acum);FCL 2011 (% acum);FCL 2012 (% acum);FCL 2013 (% acum);FCL 2014 (% acum);FCL 2015 (% acum);FCL 2016 (% acum);FCL 2017 (% acum);FCL 2018 (% acum);FCL 2019 (% acum)
43;120427,696;32,16;296,80;195,04;78,72;290,77;194,58;206,56;218,00;159,50;477,35;167,58;197,25;358,35;114,87;270,10;88,33;179,33;399,54;122,27;148,59;;0,00246;0,00162;0,00065;0,00241;0,00162;0,00172;0,00181;0,00132;0,00396;0,00139;0,00164;0,00298;0,00095;0,00224;0,00073;0,00149;0,00332;0,00102;0,00123;;0,00246;0,00408;0,00474;0,00715;0,00877;0,01048;0,01229;0,01362;0,01758;0,01897;0,02061;0,02359;0,02454;0,02678;0,02752;0,02901;0,03232;0,03334;0,03457
44;167591,355;25,52;384,59;902,75;318,76;537,99;269,57;599,85;654,69;651,18;1232,95;286,65;291,15;523,87;191,91;543,40;267,73;394,43;1199,62;923,04;687,95;;0,00229;0,00539;0,00190;0,00321;0,00161;0,00358;0,00391;0,00389;0,00736;0,00171;0,00174;0,00313;0,00115;0,00324;0,00160;0,00235;0,00716;0,00551;0,00410;;0,00229;0,00768;0,00958;0,01279;0,01440;0,01798;0,02189;0,02577;0,03313;0,03484;0,03658;0,03970;0,04085;0,04409;0,04569;0,04804;0,05520;0,06071;0,06481
45;125822,914;34,13;432,04;543,71;178,34;746,91;487,34;733,33;314,72;443,78;642,56;404,50;1107,86;775,97;536,54;528,91;205,03;906,03;1625,17;1257,51;1067,81;;0,00343;0,00432;0,00142;0,00594;0,00387;0,00583;0,00250;0,00353;0,00511;0,00321;0,00880;0,00617;0,00426;0,00420;0,00163;0,00720;0,01292;0,00999;0,00849;;0,00343;0,00775;0,00917;0,01511;0,01898;0,02481;0,02731;0,03084;0,03595;0,03916;0,04796;0,05413;0,05840;0,06260;0,06423;0,07143;0,08435;0,09434;0,10283
46;304817,702;27,46;486,88;548,44;267,96;334,86;336,54;557,82;544,32;551,95;1265,90;464,38;255,15;436,84;133,10;170,40;118,69;199,77;293,82;231,43;171,47;;0,00160;0,00180;0,00088;0,00110;0,00110;0,00183;0,00179;0,00181;0,00415;0,00152;0,00084;0,00143;0,00044;0,00056;0,00039;0,00066;0,00096;0,00076;0,00056;;0,00160;0,00340;0,00428;0,00537;0,00648;0,00831;0,01009;0,01190;0,01606;0,01758;0,01842;0,01985;0,02029;0,02085;0,02124;0,02189;0,02286;0,02361;0,02418
47;593279,183;19,75;2699,69;1107,48;468,12;1111,90;842,87;1152,48;2971,09;947,98;2525,55;1894,74;560,79;1059,65;623,19;668,65;290,16;379,18;546,68;318,38;472,85;;0,00455;0,00187;0,00079;0,00187;0,00142;0,00194;0,00501;0,00160;0,00426;0,00319;0,00095;0,00179;0,00105;0,00113;0,00049;0,00064;0,00092;0,00054;0,00080;;0,00455;0,00642;0,00721;0,00908;0,01050;0,01244;0,01745;0,01905;0,02331;0,02650;0,02745;0,02923;0,03028;0,03141;0,03190;0,03254;0,03346;0,03400;0,03479
48;186536,664;37,13;473,84;249,81;123,42;197,25;181,69;275,29;381,39;187,49;443,55;256,67;209,76;472,85;135,24;213,88;121,89;286,04;577,42;159,34;146,99;;0,00254;0,00134;0,00066;0,00106;0,00097;0,00148;0,00204;0,00101;0,00238;0,00138;0,00112;0,00253;0,00073;0,00115;0,00065;0,00153;0,00310;0,00085;0,00079;;0,00254;0,00388;0,00454;0,00560;0,00657;0,00805;0,01009;0,01110;0,01348;0,01485;0,01598;0,01851;0,01924;0,02038;0,02104;0,02257;0,02567;0,02652;0,02731
49;107585,482;13,17;228,76;129,67;66,44;193,52;136,31;213,65;331,73;138,90;471,85;194,66;266,97;411,52;179,79;261,94;67,20;157,59;268,88;65,06;106,56;;0,00213;0,00121;0,00062;0,00180;0,00127;0,00199;0,00308;0,00129;0,00439;0,00181;0,00248;0,00383;0,00167;0,00243;0,00062;0,00146;0,00250;0,00060;0,00099;;0,00213;0,00333;0,00395;0,00575;0,00701;0,00900;0,01208;0,01338;0,01776;0,01957;0,02205;0,02588;0,02755;0,02998;0,03061;0,03207;0,03457;0,03518;0,03617
50;177269,346;30,74;487,03;329,98;86,50;1160,87;308,77;382,84;644,93;566,82;1169,18;391,30;479,18;384,97;427,99;335,70;106,33;233,26;415,18;371,85;193,75;;0,00275;0,00186;0,00049;0,00655;0,00174;0,00216;0,00364;0,00320;0,00660;0,00221;0,00270;0,00217;0,00241;0,00189;0,00060;0,00132;0,00234;0,00210;0,00109;;0,00275;0,00461;0,00510;0,01165;0,01339;0,01555;0,01919;0,02238;0,02898;0,03119;0,03389;0,03606;0,03847;0,04037;0,04097;0,04228;0,04463;0,04672;0,04782
51;183107,039;42,79;503,20;307,02;84,97;242,11;340,73;529,44;428,45;229,75;555,45;412,51;308,39;580,09;122,20;161,40;45,08;183,83;365,75;133,56;154,46;;0,00275;0,00168;0,00046;0,00132;0,00186;0,00289;0,00234;0,00125;0,00303;0,00225;0,00168;0,00317;0,00067;0,00088;0,00025;0,00100;0,00200;0,00073;0,00084;;0,00275;0,00442;0,00489;0,00621;0,00807;0,01096;0,01330;0,01456;0,01759;0,01984;0,02153;0,02470;0,02536;0,02625;0,02649;0,02750;0,02949;0,03022;0,03107
52;55300,89;18,36;361,25;197,64;78,41;233,41;224,79;108,09;325,86;175,44;571,01;230,28;138,75;233,79;148,82;156,06;26,93;62,40;227,92;72,77;61,86;;0,00653;0,00357;0,00142;0,00422;0,00406;0,00195;0,00589;0,00317;0,01033;0,00416;0,00251;0,00423;0,00269;0,00282;0,00049;0,00113;0,00412;0,00132;0,00112;;0,00653;0,01011;0,01152;0,01574;0,01981;0,02176;0,02766;0,03083;0,04115;0,04532;0,04783;0,05206;0,05475;0,05757;0,05806;0,05918;0,06331;0,06462;0,06574
53;283453,019;28,44;1691,08;1432,19;458,05;976,89;1237,68;1392,75;650,11;659,50;1012,97;1268,42;1694,81;1817,32;444,77;759,65;365,90;1088,56;2434,63;868,65;1271,47;;0,00597;0,00505;0,00162;0,00345;0,00437;0,00491;0,00229;0,00233;0,00357;0,00447;0,00598;0,00641;0,00157;0,00268;0,00129;0,00384;0,00859;0,00306;0,00449;;0,00597;0,01102;0,01263;0,01608;0,02045;0,02536;0,02765;0,02998;0,03355;0,03803;0,04401;0,05042;0,05199;0,05467;0,05596;0,05980;0,06839;0,07145;0,07594
54;163715,422;36,91;302,44;321,28;140,50;430,36;185,43;410,14;346,91;277,42;424,56;412,28;679,10;371,47;191,23;205,49;89,02;463,31;901,91;560,34;599,31;;0,00185;0,00196;0,00086;0,00263;0,00113;0,00251;0,00212;0,00169;0,00259;0,00252;0,00415;0,00227;0,00117;0,00126;0,00054;0,00283;0,00551;0,00342;0,00366;;0,00185;0,00381;0,00467;0,00730;0,00843;0,01093;0,01305;0,01475;0,01734;0,01986;0,02401;0,02628;0,02744;0,02870;0,02924;0,03207;0,03758;0,04101;0,04467
55;143666,092;33,93;604,27;380,85;72,77;335,85;353,62;207,17;654,46;267,73;858,96;506,18;224,71;536,16;147,83;255,30;47,44;187,95;667,58;195,58;206,86;;0,00421;0,00265;0,00051;0,00234;0,00246;0,00144;0,00456;0,00186;0,00598;0,00352;0,00156;0,00373;0,00103;0,00178;0,00033;0,00131;0,00465;0,00136;0,00144;;0,00421;0,00686;0,00736;0,00970;0,01216;0,01360;0,01816;0,02002;0,02600;0,02953;0,03109;0,03482;0,03585;0,03763;0,03796;0,03927;0,04391;0,04527;0,04671
56;275284,214;27,38;901,53;439,82;154,54;860,87;627,99;494,51;1161,40;591,46;1242,26;759,95;543,78;956,98;501,83;554,00;141,80;582,53;1813,65;693,75;447,75;;0,00327;0,00160;0,00056;0,00313;0,00228;0,00180;0,00422;0,00215;0,00451;0,00276;0,00198;0,00348;0,00182;0,00201;0,00052;0,00212;0,00659;0,00252;0,00163;;0,00327;0,00487;0,00543;0,00856;0,01084;0,01264;0,01686;0,01901;0,02352;0,02628;0,02825;0,03173;0,03355;0,03557;0,03608;0,03820;0,04479;0,04731;0,04893
57;141466,111;50,68;432,65;360,64;281,39;430,97;327,99;664,68;330,21;557,44;960,64;512,13;1354,23;659,04;326,24;380,93;273,99;1023,65;2673,30;1141,88;1061,02;;0,00306;0,00255;0,00199;0,00305;0,00232;0,00470;0,00233;0,00394;0,00679;0,00362;0,00957;0,00466;0,00231;0,00269;0,00194;0,00724;0,01890;0,00807;0,00750;;0,00306;0,00561;0,00760;0,01064;0,01296;0,01766;0,01999;0,02393;0,03073;0,03435;0,04392;0,04858;0,05088;0,05358;0,05551;0,06275;0,08165;0,08972;0,09722
58;84352,137;46,67;101,83;138,29;47,37;257,59;125,78;142,11;115,18;138,67;283,91;109,08;235,16;227,84;85,51;121,21;68,73;184,29;644,47;181,39;142,72;;0,00121;0,00164;0,00056;0,00305;0,00149;0,00168;0,00137;0,00164;0,00337;0,00129;0,00279;0,00270;0,00101;0,00144;0,00081;0,00218;0,00764;0,00215;0,00169;;0,00121;0,00285;0,00341;0,00646;0,00795;0,00964;0,01100;0,01265;0,01601;0,01731;0,02009;0,02280;0,02381;0,02525;0,02606;0,02825;0,03589;0,03804;0,03973
59;140356,857;43,52;289,40;267,96;144,77;232,11;116,09;356,83;130,74;184,82;246,91;253,78;449,89;349,58;266,82;256,52;138,52;469,03;589,17;375,29;611,98;;0,00206;0,00191;0,00103;0,00165;0,00083;0,00254;0,00093;0,00132;0,00176;0,00181;0,00321;0,00249;0,00190;0,00183;0,00099;0,00334;0,00420;0,00267;0,00436;;0,00206;0,00397;0,00500;0,00666;0,00748;0,01003;0,01096;0,01227;0,01403;0,01584;0,01905;0,02154;0,02344;0,02527;0,02625;0,02959;0,03379;0,03647;0,04083
60;103575,694;23,52;213,88;187,64;77,96;287,49;180,24;396,64;383,91;268,19;892,14;145,84;153,70;229,44;114,57;262,17;118,00;58,81;139,28;64,61;73,53;;0,00206;0,00181;0,00075;0,00278;0,00174;0,00383;0,00371;0,00259;0,00861;0,00141;0,00148;0,00222;0,00111;0,00253;0,00114;0,00057;0,00134;0,00062;0,00071;;0,00206;0,00388;0,00463;0,00740;0,00915;0,01297;0,01668;0,01927;0,02788;0,02929;0,03078;0,03299;0,03410;0,03663;0,03777;0,03834;0,03968;0,04030;0,04101
61;47542,231;34,94;186,58;145,00;21,59;158,96;109,38;248,13;48,44;69,26;139,59;118,08;198,32;197,94;82,76;160,18;47,90;108,39;272,54;205,42;217,85;;0,00392;0,00305;0,00045;0,00334;0,00230;0,00522;0,00102;0,00146;0,00294;0,00248;0,00417;0,00416;0,00174;0,00337;0,00101;0,00228;0,00573;0,00432;0,00458;;0,00392;0,00697;0,00743;0,01077;0,01307;0,01829;0,01931;0,02077;0,02370;0,02619;0,03036;0,03452;0,03626;0,03963;0,04064;0,04292;0,04865;0,05297;0,05756
62;113195,34;44,66;84,97;114,65;12,81;196,26;152,78;73,30;278,18;139,51;103,97;157,67;102,44;176,13;13,50;52,25;72,92;172,39;288,33;201,07;81,24;;0,00075;0,00101;0,00011;0,00173;0,00135;0,00065;0,00246;0,00123;0,00092;0,00139;0,00090;0,00156;0,00012;0,00046;0,00064;0,00152;0,00255;0,00178;0,00072;;0,00075;0,00176;0,00188;0,00361;0,00496;0,00561;0,00807;0,00930;0,01022;0,01161;0,01251;0,01407;0,01419;0,01465;0,01530;0,01682;0,01937;0,02114;0,02186
63;87606,355;35,05;203,43;151,79;65,83;351,41;190,85;239,97;174,52;205,11;437,68;174,07;219,68;296,19;62,70;82,30;43,25;161,48;691,53;231,05;121,51;;0,00232;0,00173;0,00075;0,00401;0,00218;0,00274;0,00199;0,00234;0,00500;0,00199;0,00251;0,00338;0,00072;0,00094;0,00049;0,00184;0,00789;0,00264;0,00139;;0,00232;0,00405;0,00481;0,00882;0,01100;0,01374;0,01573;0,01807;0,02306;0,02505;0,02756;0,03094;0,03166;0,03260;0,03309;0,03493;0,04283;0,04546;0,04685
64;185997,164;40,33;337,68;274,14;124,41;427,46;345,31;410,60;219,76;266,74;247,67;187,11;376,74;372,54;182,91;197,64;88,56;362,24;571,24;537,30;545,31;;0,00182;0,00147;0,00067;0,00230;0,00186;0,00221;0,00118;0,00143;0,00133;0,00101;0,00203;0,00200;0,00098;0,00106;0,00048;0,00195;0,00307;0,00289;0,00293;;0,00182;0,00329;0,00396;0,00626;0,00811;0,01032;0,01150;0,01294;0,01427;0,01527;0,01730;0,01930;0,02029;0,02135;0,02182;0,02377;0,02684;0,02973;0,03266
65;239968,183;43,97;645,23;471,93;190,01;1223,87;957,51;634,17;430,21;423,80;522,73;341,34;423,57;504,12;290,54;537,83;220,59;641,11;2152,86;1096,34;1035,85;;0,00269;0,00197;0,00079;0,00510;0,00399;0,00264;0,00179;0,00177;0,00218;0,00142;0,00177;0,00210;0,00121;0,00224;0,00092;0,00267;0,00897;0,00457;0,00432;;0,00269;0,00466;0,00545;0,01055;0,01454;0,01718;0,01897;0,02074;0,02292;0,02434;0,02611;0,02821;0,02942;0,03166;0,03258;0,03525;0,04422;0,04879;0,05311
66;148424,201;17,24;1445,00;1133,26;506,79;2453,32;1607,02;1224,64;1368,65;1017,54;1374,29;854,69;276,13;411,52;227,38;429,60;292,45;256,14;1104,35;543,63;510,37;;0,00974;0,00764;0,00341;0,01653;0,01083;0,00825;0,00922;0,00686;0,00926;0,00576;0,00186;0,00277;0,00153;0,00289;0,00197;0,00173;0,00744;0,00366;0,00344;;0,00974;0,01737;0,02079;0,03731;0,04814;0,05639;0,06561;0,07247;0,08173;0,08749;0,08935;0,09212;0,09365;0,09655;0,09852;0,10024;0,10768;0,11135;0,11478
67;268468,362;8,35;2479,71;1571,32;911,90;1926,70;1271,62;1494,97;1676,51;618,38;893,97;1359,04;504,50;481,46;514,95;897,25;390,62;501,07;1695,96;1299,16;745,16;;0,00924;0,00585;0,00340;0,00718;0,00474;0,00557;0,00624;0,00230;0,00333;0,00506;0,00188;0,00179;0,00192;0,00334;0,00145;0,00187;0,00632;0,00484;0,00278;;0,00924;0,01509;0,01849;0,02566;0,03040;0,03597;0,04221;0,04452;0,04785;0,05291;0,05479;0,05658;0,05850;0,06184;0,06330;0,06516;0,07148;0,07632;0,07909
68;956934,529;38,47;380,09;193,59;156,98;416,02;258,66;358,66;587,19;282,91;385,81;349,66;403,13;640,43;201,53;266,44;92,30;159,57;206,10;126,32;105,34;;0,00040;0,00020;0,00016;0,00043;0,00027;0,00037;0,00061;0,00030;0,00040;0,00037;0,00042;0,00067;0,00021;0,00028;0,00010;0,00017;0,00022;0,00013;0,00011;;0,00040;0,00060;0,00076;0,00120;0,00147;0,00184;0,00246;0,00275;0,00316;0,00352;0,00394;0,00461;0,00482;0,00510;0,00520;0,00536;0,00558;0,00571;0,00582
69;241004,639;37,81;164,07;141,95;325,86;158,43;374,52;338,90;224,41;191,69;240,43;154,61;342,49;329,52;76,43;70,86;26,39;162,24;396,87;187,41;151,33;;0,00068;0,00059;0,00135;0,00066;0,00155;0,00141;0,00093;0,00080;0,00100;0,00064;0,00142;0,00137;0,00032;0,00029;0,00011;0,00067;0,00165;0,00078;0,00063;;0,00068;0,00127;0,00262;0,00328;0,00483;0,00624;0,00717;0,00797;0,00896;0,00961;0,01103;0,01239;0,01271;0,01300;0,01311;0,01379;0,01543;0,01621;0,01684
70;341056,541;55,14;1000,31;602,52;520,14;443,10;960,49;698,17;415,26;472,92;1081,16;754,46;987,64;751,87;285,20;524,33;326,54;847,98;1639,74;694,36;553,32;;0,00293;0,00177;0,00153;0,00130;0,00282;0,00205;0,00122;0,00139;0,00317;0,00221;0,00290;0,00220;0,00084;0,00154;0,00096;0,00249;0,00481;0,00204;0,00162;;0,00293;0,00470;0,00622;0,00752;0,01034;0,01239;0,01360;0,01499;0,01816;0,02037;0,02327;0,02547;0,02631;0,02785;0,02880;0,03129;0,03610;0,03813;0,03976
71;355081,087;46,65;1019,60;466,74;381,77;663,84;824,41;847,14;524,49;460,64;812,81;731,12;834,55;846,68;398,32;527,46;175,74;423,11;984,29;557,59;463,08;;0,00287;0,00131;0,00108;0,00187;0,00232;0,00239;0,00148;0,00130;0,00229;0,00206;0,00235;0,00238;0,00112;0,00149;0,00049;0,00119;0,00277;0,00157;0,00130;;0,00287;0,00419;0,00526;0,00713;0,00945;0,01184;0,01332;0,01461;0,01690;0,01896;0,02131;0,02370;0,02482;0,02630;0,02680;0,02799;0,03076;0,03233;0,03364
72;431826,434;21,16;2605,95;1762,24;2101,53;4216,78;3181,62;4016,86;4559,73;2182,76;3497,64;2650,11;1455,84;2577,19;1247,14;1566,13;1282,15;1558,58;3225,40;2384,74;1694,81;;0,00603;0,00408;0,00487;0,00976;0,00737;0,00930;0,01056;0,00505;0,00810;0,00614;0,00337;0,00597;0,00289;0,00363;0,00297;0,00361;0,00747;0,00552;0,00392;;0,00603;0,01012;0,01498;0,02475;0,03212;0,04142;0,05198;0,05703;0,06513;0,07127;0,07464;0,08061;0,08350;0,08712;0,09009;0,09370;0,10117;0,10669;0,11062
73;45162,665;13,91;120,29;83,22;7,86;78,18;57,13;203,43;145,92;133,79;186,35;30,21;72,92;145,16;56,52;140,58;37,76;10,22;1,91;17,93;4,81;;0,00266;0,00184;0,00017;0,00173;0,00127;0,00450;0,00323;0,00296;0,00413;0,00067;0,00161;0,00321;0,00125;0,00311;0,00084;0,00023;0,00004;0,00040;0,00011;;0,00266;0,00451;0,00468;0,00641;0,00768;0,01218;0,01541;0,01837;0,02250;0,02317;0,02478;0,02800;0,02925;0,03236;0,03320;0,03342;0,03347;0,03386;0,03397
74;627108,949;22,26;3059,12;2811,82;576,51;4084,13;3619,98;2703,20;8163,54;2908,77;2469,18;1973,84;2158,66;2054,54;1928,76;2965,60;976,58;5163,39;6327,23;14463,01;5348,59;;0,00488;0,00448;0,00092;0,00651;0,00577;0,00431;0,01302;0,00464;0,00394;0,00315;0,00344;0,00328;0,00308;0,00473;0,00156;0,00823;0,01009;0,02306;0,00853;;0,00488;0,00936;0,01028;0,01679;0,02257;0,02688;0,03989;0,04453;0,04847;0,05162;0,05506;0,05834;0,06141;0,06614;0,06770;0,07593;0,08602;0,10908;0,11761
75;340802,633;22,35;1322,35;1404,96;1036,46;2407,17;1312,05;2101,83;2972,39;1594,36;2750,04;2043,10;844,39;2171,24;963,54;1931,81;1218,46;1309,53;2871,78;1507,78;1330,66;;0,00388;0,00412;0,00304;0,00706;0,00385;0,00617;0,00872;0,00468;0,00807;0,00599;0,00248;0,00637;0,00283;0,00567;0,00358;0,00384;0,00843;0,00442;0,00390;;0,00388;0,00800;0,01104;0,01811;0,02196;0,02812;0,03685;0,04152;0,04959;0,05559;0,05807;0,06444;0,06726;0,07293;0,07651;0,08035;0,08878;0,09320;0,09711
76;78151,231;10,89;241,80;47,52;46,83;103,36;71,17;81,39;39,36;40,35;88,41;157,89;62,24;116,02;53,93;72,39;5,42;54,31;11,37;15,10;44,39;;0,00309;0,00061;0,00060;0,00132;0,00091;0,00104;0,00050;0,00052;0,00113;0,00202;0,00080;0,00148;0,00069;0,00093;0,00007;0,00069;0,00015;0,00019;0,00057;;0,00309;0,00370;0,00430;0,00562;0,00653;0,00758;0,00808;0,00860;0,00973;0,01175;0,01254;0,01403;0,01472;0,01564;0,01571;0,01641;0,01655;0,01675;0,01732
77;522847,582;29,26;1407,55;1799,39;1236,23;2455,30;1915,03;3147,44;1777,65;1785,58;2225,86;2187,64;2249,05;2527,92;1154,92;2232,57;1303,43;2740,58;4193,14;2310,68;2588,10;;0,00269;0,00344;0,00236;0,00470;0,00366;0,00602;0,00340;0,00342;0,00426;0,00418;0,00430;0,00483;0,00221;0,00427;0,00249;0,00524;0,00802;0,00442;0,00495;;0,00269;0,00613;0,00850;0,01319;0,01686;0,02288;0,02628;0,02969;0,03395;0,03813;0,04243;0,04727;0,04948;0,05375;0,05624;0,06148;0,06950;0,07392;0,07887
78;293714,367;31,64;633,03;779,02;862,62;1431,96;1041,95;1687,34;1102,90;1090,54;1369,87;1249,12;1173,99;1664,23;711,67;976,20;858,28;1678,18;2898,40;1912,05;2211,14;;0,00216;0,00265;0,00294;0,00488;0,00355;0,00574;0,00376;0,00371;0,00466;0,00425;0,00400;0,00567;0,00242;0,00332;0,00292;0,00571;0,00987;0,00651;0,00753;;0,00216;0,00481;0,00774;0,01262;0,01617;0,02191;0,02567;0,02938;0,03404;0,03830;0,04229;0,04796;0,05038;0,05371;0,05663;0,06234;0,07221;0,07872;0,08625
79;143661,892;18,4;764,00;792,68;827,31;1033,26;546,07;1295,58;552,17;671,24;647,75;585,96;782,07;679,02;292,91;534,10;562,01;947,52;1493,44;742,56;644,47;;0,00532;0,00552;0,00576;0,00719;0,00380;0,00902;0,00384;0,00467;0,00451;0,00408;0,00544;0,00473;0,00204;0,00372;0,00391;0,00660;0,01040;0,00517;0,00449;;0,00532;0,01084;0,01659;0,02379;0,02759;0,03661;0,04045;0,04512;0,04963;0,05371;0,05915;0,06388;0,06592;0,06964;0,07355;0,08014;0,09054;0,09571;0,10019
80;257791,816;27,4;1777,80;1534,94;1266,44;1062,40;838,67;1102,29;564,76;938,67;573,46;744,09;700,76;739,82;277,04;761,86;790,31;1387,26;1475,51;835,55;447,98;;0,00690;0,00595;0,00491;0,00412;0,00325;0,00428;0,00219;0,00364;0,00222;0,00289;0,00272;0,00287;0,00107;0,00296;0,00307;0,00538;0,00572;0,00324;0,00174;;0,00690;0,01285;0,01776;0,02188;0,02514;0,02941;0,03160;0,03525;0,03747;0,04036;0,04307;0,04594;0,04702;0,04997;0,05304;0,05842;0,06415;0,06739;0,06912
81;395763,688;22,4;2214,34;938,67;1011,44;1089,47;1183,37;1493,67;1151,95;1762,01;1558,12;1572,39;2074,75;1121,82;712,97;1200,46;948,36;1864,15;2745,84;2083,30;2182,91;;0,00560;0,00237;0,00256;0,00275;0,00299;0,00377;0,00291;0,00445;0,00394;0,00397;0,00524;0,00283;0,00180;0,00303;0,00240;0,00471;0,00694;0,00526;0,00552;;0,00560;0,00797;0,01052;0,01328;0,01627;0,02004;0,02295;0,02740;0,03134;0,03531;0,04055;0,04339;0,04519;0,04822;0,05062;0,05533;0,06227;0,06753;0,07305
82;1718667,987;3,34;7712,13;2620,67;1870,02;3753,32;2683,52;2184,90;2068,19;2700,92;4409,53;2103,74;3562,24;3023,80;1371,32;1648,59;2409,15;10718,00;4890,47;2389,32;2087,19;;0,00449;0,00152;0,00109;0,00218;0,00156;0,00127;0,00120;0,00157;0,00257;0,00122;0,00207;0,00176;0,00080;0,00096;0,00140;0,00624;0,00285;0,00139;0,00121;;0,00449;0,00601;0,00710;0,00928;0,01085;0,01212;0,01332;0,01489;0,01746;0,01868;0,02075;0,02251;0,02331;0,02427;0,02567;0,03191;0,03475;0,03614;0,03736
83;559827,805;29,96;1257,06;1135,32;803,59;2058,28;2323,72;2530,89;1923,26;2593,29;2222,04;2000,00;1689,93;1919,83;906,18;1479,86;902,06;1655,84;4541,27;2254,77;1959,50;;0,00225;0,00203;0,00144;0,00368;0,00415;0,00452;0,00344;0,00463;0,00397;0,00357;0,00302;0,00343;0,00162;0,00264;0,00161;0,00296;0,00811;0,00403;0,00350;;0,00225;0,00427;0,00571;0,00939;0,01354;0,01806;0,02149;0,02612;0,03009;0,03367;0,03669;0,04011;0,04173;0,04438;0,04599;0,04895;0,05706;0,06109;0,06459
84;38189,689;28,24;99,54;149,58;20,06;60,34;160,72;93,97;184,52;222,88;125,40;94,97;111,75;276,81;25,32;46,91;54,92;90,31;148,28;126,16;209,15;;0,00261;0,00392;0,00053;0,00158;0,00421;0,00246;0,00483;0,00584;0,00328;0,00249;0,00293;0,00725;0,00066;0,00123;0,00144;0,00236;0,00388;0,00330;0,00548;;0,00261;0,00652;0,00705;0,00863;0,01284;0,01530;0,02013;0,02597;0,02925;0,03174;0,03466;0,04191;0,04257;0,04380;0,04524;0,04760;0,05149;0,05479;0,06027
85;142100,89;37,12;317,77;465,83;54,46;131,35;382,23;356,29;825,71;445,16;546,38;372,39;579,71;774,45;137,83;248,82;143,02;335,47;900,61;783,45;979,71;;0,00224;0,00328;0,00038;0,00092;0,00269;0,00251;0,00581;0,00313;0,00384;0,00262;0,00408;0,00545;0,00097;0,00175;0,00101;0,00236;0,00634;0,00551;0,00689;;0,00224;0,00551;0,00590;0,00682;0,00951;0,01202;0,01783;0,02096;0,02481;0,02743;0,03151;0,03696;0,03793;0,03968;0,04069;0,04305;0,04938;0,05490;0,06179
86;250263,608;32,94;333,18;369,79;150,80;296,19;337,99;491,38;473,00;574,07;567,96;618,08;728,76;646,68;156,06;228,45;84,06;500,69;1463,84;860,11;1217,32;;0,00133;0,00148;0,00060;0,00118;0,00135;0,00196;0,00189;0,00229;0,00227;0,00247;0,00291;0,00258;0,00062;0,00091;0,00034;0,00200;0,00585;0,00344;0,00486;;0,00133;0,00281;0,00341;0,00460;0,00595;0,00791;0,00980;0,01209;0,01436;0,01683;0,01974;0,02233;0,02295;0,02386;0,02420;0,02620;0,03205;0,03549;0,04035
87;359512,374;17,89;3727,38;2313,04;2111,90;5084,06;4356,14;3923,34;3752,02;2562,85;3149,96;4833,33;2024,87;2642,87;1445,69;2504,27;1462,09;2772,23;6173,30;3925,25;3926,54;;0,01037;0,00643;0,00587;0,01414;0,01212;0,01091;0,01044;0,00713;0,00876;0,01344;0,00563;0,00735;0,00402;0,00697;0,00407;0,00771;0,01717;0,01092;0,01092;;0,01037;0,01680;0,02268;0,03682;0,04893;0,05985;0,07028;0,07741;0,08617;0,09962;0,10525;0,11260;0,11662;0,12359;0,12766;0,13537;0,15254;0,16346;0,17438
88;728258,769;27,31;5542,79;3739,66;3658,43;6456,98;4415,48;5233,94;5224,87;2876,13;4331,35;3124,33;1982,91;2010,91;1025,32;1777,73;1254,23;2029,21;5212,89;3359,19;2255,15;;0,00761;0,00514;0,00502;0,00887;0,00606;0,00719;0,00717;0,00395;0,00595;0,00429;0,00272;0,00276;0,00141;0,00244;0,00172;0,00279;0,00716;0,00461;0,00310;;0,00761;0,01275;0,01777;0,02664;0,03270;0,03989;0,04706;0,05101;0,05696;0,06125;0,06397;0,06673;0,06814;0,07058;0,07230;0,07509;0,08225;0,08686;0,08996
