CUENCA;A;Sm;FCL 2001 (ha);FCL 2002 (ha);FCL 2003 (ha);FCL 2004 (ha);FCL 2005 (ha);FCL 2006 (ha);FCL 2007 (ha);FCL 2008 (ha);FCL 2009 (ha);FCL 2010 (ha);FCL 2011 (ha);FCL 2012 (ha);FCL 2013 (ha);FCL 2014 (ha);FCL 2015 (ha);FCL 2016 (ha);FCL 2017 (ha);FCL 2018 (ha);FCL 2019 (ha); ;FCL 2001 (%);FCL 2002 (%);FCL 2003 (%);FCL 2004 (%);FCL 2005 (%);FCL 2006 (%);FCL 2007 (%);FCL 2008 (%);FCL 2009 (%);FCL 2010 (%);FCL 2011 (%);FCL 2012 (%);FCL 2013 (%);FCL 2014 (%);FCL 2015 (%);FCL 2016 (%);FCL 2017 (%);FCL 2018 (%);FCL 2019 (%);;FCL 2001 (% acum);FCL 2002 (% acum);FCL 2003 (% acum);FCL 2004 (% acum);FCL 2005 (% acum);FCL 2006 (% acum);FCL 2007 (% acum);FCL 2008 (% acum);FCL 2009 (% acum);FCL 2010 (% acum);FCL 2011 (% acum);FCL 2012 (% acum);FCL 2013 (% acum);FCL 2014 (% acum);FCL 2015 (% acum);FCL 2016 (% acum);FCL 2017 (% acum);FCL 2018 (% acum);FCL 2019 (% acum)
11;85276,333;25,14;254,77;172,31;34,63;199,54;100,53;136,00;78,64;147,90;210,07;71,40;301,68;369,72;169,41;175,21;84,13;105,34;163,62;109,31;165,22;;0,00299;0,00202;0,00041;0,00234;0,00118;0,00159;0,00092;0,00173;0,00246;0,00084;0,00354;0,00434;0,00199;0,00205;0,00099;0,00124;0,00192;0,00128;0,00194;;0,00299;0,00501;0,00541;0,00775;0,00893;0,01053;0,01145;0,01318;0,01565;0,01649;0,02002;0,02436;0,02635;0,02840;0,02939;0,03062;0,03254;0,03382;0,03576
12;124451,292;32,75;324,26;301,75;345,46;649,66;499,47;536,54;199,54;742,79;775,67;366,82;1003,05;938,29;476,81;468,19;510,60;712,43;1426,01;784,13;763,84;;0,00261;0,00242;0,00278;0,00522;0,00401;0,00431;0,00160;0,00597;0,00623;0,00295;0,00806;0,00754;0,00383;0,00376;0,00410;0,00572;0,01146;0,00630;0,00614;;0,00261;0,00503;0,00781;0,01303;0,01704;0,02135;0,02295;0,02892;0,03516;0,03810;0,04616;0,05370;0,05753;0,06130;0,06540;0,07112;0,08258;0,08888;0,09502
13;63001,251;27,61;145,61;70,48;17,93;145,84;141,65;278,72;47,75;232,95;132,88;133,26;161,40;201,91;47,44;131,27;32,72;102,14;87,64;35,85;39,59;;0,00231;0,00112;0,00028;0,00231;0,00225;0,00442;0,00076;0,00370;0,00211;0,00212;0,00256;0,00320;0,00075;0,00208;0,00052;0,00162;0,00139;0,00057;0,00063;;0,00231;0,00343;0,00371;0,00603;0,00828;0,01270;0,01346;0,01716;0,01927;0,02138;0,02394;0,02715;0,02790;0,02998;0,03050;0,03213;0,03352;0,03409;0,03471
14;80921,429;14,49;190,08;93,44;69,57;219,07;156,29;127,99;25,86;145,16;185,51;107,25;127,54;249,20;64,91;143,17;106,79;143,63;192,83;53,93;107,55;;0,00235;0,00115;0,00086;0,00271;0,00193;0,00158;0,00032;0,00179;0,00229;0,00133;0,00158;0,00308;0,00080;0,00177;0,00132;0,00177;0,00238;0,00067;0,00133;;0,00235;0,00350;0,00436;0,00707;0,00900;0,01058;0,01090;0,01270;0,01499;0,01631;0,01789;0,02097;0,02177;0,02354;0,02486;0,02664;0,02902;0,02969;0,03101
15;48385,421;41,11;140,66;113,42;49,43;91,99;134,71;154,46;64,91;170,25;138,14;73,30;165,45;210,30;110,91;147,90;70,94;191,69;288,71;121,43;246,61;;0,00291;0,00234;0,00102;0,00190;0,00278;0,00319;0,00134;0,00352;0,00285;0,00151;0,00342;0,00435;0,00229;0,00306;0,00147;0,00396;0,00597;0,00251;0,00510;;0,00291;0,00525;0,00627;0,00817;0,01096;0,01415;0,01549;0,01901;0,02187;0,02338;0,02680;0,03115;0,03344;0,03650;0,03796;0,04192;0,04789;0,05040;0,05550
16;66724,055;24,46;116,02;38,44;25,78;126,24;98,32;126,01;36,46;81,16;119,91;53,55;118,00;134,32;31,50;152,02;26,24;57,36;100,08;21,82;33,49;;0,00174;0,00058;0,00039;0,00189;0,00147;0,00189;0,00055;0,00122;0,00180;0,00080;0,00177;0,00201;0,00047;0,00228;0,00039;0,00086;0,00150;0,00033;0,00050;;0,00174;0,00231;0,00270;0,00459;0,00607;0,00796;0,00850;0,00972;0,01152;0,01232;0,01409;0,01610;0,01657;0,01885;0,01924;0,02010;0,02160;0,02193;0,02243
17;519749,963;40,32;639,28;779,41;287,34;390,39;869,87;415,26;926,77;877,42;895,12;826,09;638,67;1373,68;263,16;376,81;98,32;444,32;1977,96;475,21;546,99;;0,00123;0,00150;0,00055;0,00075;0,00167;0,00080;0,00178;0,00169;0,00172;0,00159;0,00123;0,00264;0,00051;0,00072;0,00019;0,00085;0,00381;0,00091;0,00105;;0,00123;0,00273;0,00328;0,00403;0,00571;0,00651;0,00829;0,00998;0,01170;0,01329;0,01452;0,01716;0,01767;0,01839;0,01858;0,01944;0,02324;0,02416;0,02521
18;93673,827;32,06;209,61;182,15;43,55;166,29;188,48;165,37;168,95;205,11;325,93;100,76;123,04;648,44;56,29;239,28;53,01;186,96;411,82;119,83;161,17;;0,00224;0,00194;0,00046;0,00178;0,00201;0,00177;0,00180;0,00219;0,00348;0,00108;0,00131;0,00692;0,00060;0,00255;0,00057;0,00200;0,00440;0,00128;0,00172;;0,00224;0,00418;0,00465;0,00642;0,00843;0,01020;0,01200;0,01419;0,01767;0,01875;0,02006;0,02698;0,02758;0,03014;0,03071;0,03270;0,03710;0,03838;0,04010
19;114931,475;32,22;171,40;537,22;127,69;215,64;528,30;275,51;523,04;316,17;592,45;574,68;188,41;395,27;60,49;139,51;135,01;395,50;400,99;399,16;216,55;;0,00149;0,00467;0,00111;0,00188;0,00460;0,00240;0,00455;0,00275;0,00515;0,00500;0,00164;0,00344;0,00053;0,00121;0,00117;0,00344;0,00349;0,00347;0,00188;;0,00149;0,00617;0,00728;0,00915;0,01375;0,01615;0,02070;0,02345;0,02860;0,03360;0,03524;0,03868;0,03921;0,04042;0,04160;0,04504;0,04853;0,05200;0,05388
20;107027,018;37,12;321,43;257,74;146,07;210,98;253,93;291,91;474,07;302,36;365,68;309,08;233,49;346,22;203,36;330,28;366,13;298,32;633,56;353,24;122,20;;0,00300;0,00241;0,00136;0,00197;0,00237;0,00273;0,00443;0,00283;0,00342;0,00289;0,00218;0,00323;0,00190;0,00309;0,00342;0,00279;0,00592;0,00330;0,00114;;0,00300;0,00541;0,00678;0,00875;0,01112;0,01385;0,01828;0,02110;0,02452;0,02741;0,02959;0,03282;0,03472;0,03781;0,04123;0,04402;0,04994;0,05324;0,05438
21;154216,212;29,52;184,13;338,60;101,83;151,49;442,49;208,77;328,83;320,14;318,61;197,25;249,89;603,97;116,86;232,19;123,26;356,29;612,28;260,87;391,84;;0,00119;0,00220;0,00066;0,00098;0,00287;0,00135;0,00213;0,00208;0,00207;0,00128;0,00162;0,00392;0,00076;0,00151;0,00080;0,00231;0,00397;0,00169;0,00254;;0,00119;0,00339;0,00405;0,00503;0,00790;0,00926;0,01139;0,01346;0,01553;0,01681;0,01843;0,02235;0,02310;0,02461;0,02541;0,02772;0,03169;0,03338;0,03592
22;215857,701;26,19;266,44;457,67;270,63;227,54;283,37;283,52;516,86;171,55;978,87;295,80;206,79;382,23;171,32;199,62;164,61;186,42;229,67;101,14;82,38;;0,00123;0,00212;0,00125;0,00105;0,00131;0,00131;0,00239;0,00079;0,00453;0,00137;0,00096;0,00177;0,00079;0,00092;0,00076;0,00086;0,00106;0,00047;0,00038;;0,00123;0,00335;0,00461;0,00566;0,00698;0,00829;0,01068;0,01148;0,01601;0,01738;0,01834;0,02011;0,02091;0,02183;0,02259;0,02346;0,02452;0,02499;0,02537
