year;month;mc;v_flow_mean;v_rainfall_total;
2010;12;23;175.60;401.79;
2011;1;23;71.38;164.67;
2011;2;23;21.15;39.00;
2011;3;23;58.51;106.00;
2011;4;23;303.40;161.00;
2011;5;23;274.90;579.62;
2011;6;23;263.50;433.38;
2011;7;23;165.20;442.00;
2011;8;23;118.30;245.00;
2011;9;23;128.90;232.00;
2011;10;23;176.10;228.00;
2011;11;23;133.20;165.00;
2011;12;23;177.90;144.00;
2012;1;23;40.40;95.00;
2012;2;23;34.13;0.00;
2012;3;23;122.60;167.00;
2012;4;23;265.20;343.08;
2012;5;23;302.20;280.75;
2012;6;23;182.70;271.12;
2012;7;23;176.50;154.04;
2012;8;23;118.10;312.50;
2012;9;23;145.52;164.50;
2012;10;23;168.43;159.75;
2012;11;23;179.87;294.25;
2012;12;23;106.40;222.00;
2013;1;23;40.29;88.00;
2013;2;23;31.04;0.00;
2013;3;23;70.99;21.00;
2013;4;23;200.73;90.00;
2013;5;23;283.61;373.00;
2013;6;23;296.17;479.04;
2013;7;23;236.78;169.08;
2013;8;23;169.56;217.21;
2013;9;23;144.61;140.67;
2013;10;23;169.63;101.00;
2013;11;23;185.34;110.00;
2013;12;23;112.80;343.00;
2014;1;23;42.85;20.00;
2014;2;23;33.21;37.00;
2014;3;23;76.09;19.71;
2014;4;23;278.30;94.29;
2014;5;23;0.00;483.00;
2014;6;23;411.30;142.00;
2014;7;23;268.60;204.00;
2014;8;23;227.20;238.00;
2014;9;23;140.34;151.00;
2014;10;23;175.77;56.00;
2014;11;23;175.80;123.00;
2014;12;23;67.58;147.37;
2015;1;23;38.10;73.63;
2015;2;23;31.89;146.71;
2015;3;23;74.55;0.29;
2015;4;23;265.40;165.62;
2015;5;23;353.60;416.38;
2015;6;23;354.70;296.46;
2015;7;23;243.00;395.54;
2015;8;23;172.50;252.00;
2015;9;23;137.50;177.00;
2015;10;23;121.30;192.00;
2015;11;23;165.60;91.00;
2015;12;23;101.70;173.00;
2016;1;23;31.88;117.00;
2016;2;23;31.89;0.00;
2016;3;23;43.38;30.12;
2016;4;23;312.04;355.50;
2016;5;23;345.57;468.38;
2016;6;23;177.93;314.00;
2016;7;23;243.54;323.83;
2016;8;23;217.07;256.17;
2016;9;23;179.92;318.00;
2016;10;23;195.04;289.29;
2016;11;23;141.79;366.71;
2016;12;23;129.56;295.00;
2017;1;23;41.21;151.00;
2017;2;23;20.73;50.00;
2017;3;23;85.54;85.00;
2017;4;23;132.13;237.00;
2017;5;23;246.17;195.62;
2017;6;23;260.62;344.38;
2017;7;23;162.50;283.00;
2017;8;23;91.89;219.00;
2017;9;23;86.91;122.50;
2017;10;23;162.63;95.50;
2017;11;23;163.46;143.00;
2017;12;23;68.37;95.00;
2018;1;23;66.69;85.46;
2018;2;23;20.93;115.54;
2018;3;23;47.96;0.00;
2018;4;23;213.45;179.79;
2018;5;23;351.26;386.21;
2018;6;23;369.97;353.00;
2018;7;23;340.47;423.33;
2018;8;23;325.66;307.79;
2018;9;23;180.48;335.88;
2018;10;23;163.84;409.00;
2018;11;23;138.92;111.00;
2018;12;23;48.98;12.00;
2019;1;23;15.13;19.00;
2019;2;23;14.31;7.00;
2019;3;23;21.12;19.00;
2019;4;23;122.77;162.00;
2019;5;23;251.96;421.00;
2019;6;23;298.09;361.62;
2019;7;23;259.34;288.38;
2019;8;23;185.05;352.42;
2019;9;23;109.27;245.58;
2019;10;23;127.42;203.00;
2019;11;23;159.01;196.00;
2019;12;23;85.78;109.00;
